"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","consent","trump_job_approval","political_interest","attention_check","race","hispanic","age","education","income","gender","gender_4_TEXT","religion","attendance","pid_1","pid_dem","pid_rep","pid_indep","media_diet_1","media_diet_2","media_diet_3","media_diet_4","media_diet_5","media_diet_6","media_diet_7","media_diet_8","media_diet_9","media_diet_10","media_diet_11","media_diet_12","media_diet_13","media_diet_14","media_confidence","media_factchecks","pk_1","pk_2","pk_3","pk_timer_First Click","pk_timer_Last Click","pk_timer_Page Submit","pk_timer_Click Count","outcome questions_1","outcome questions_2","outcome questions_3","fc_1_belief","fc_1_misinfo_timer_First Click","fc_1_misinfo_timer_Last Click","fc_1_misinfo_timer_Page Submit","fc_1_misinfo_timer_Click Count","fc_1_factcheck_time1_First Click","fc_1_factcheck_time1_Last Click","fc_1_factcheck_time1_Page Submit","fc_1_factcheck_time1_Click Count","fc_1_factcheck_time2_First Click","fc_1_factcheck_time2_Last Click","fc_1_factcheck_time2_Page Submit","fc_1_factcheck_time2_Click Count","fc_2_belief","fc_2_misinfo_timer_First Click","fc_2_misinfo_timer_Last Click","fc_2_misinfo_timer_Page Submit","fc_2_misinfo_timer_Click Count","fc_2_factcheck_time1_First Click","fc_2_factcheck_time1_Last Click","fc_2_factcheck_time1_Page Submit","fc_2_factcheck_time1_Click Count","fc_2_factcheck_time2_First Click","fc_2_factcheck_time2_Last Click","fc_2_factcheck_time2_Page Submit","fc_2_factcheck_time2_Click Count","fc_3_belief","fc_3_misinfo_timer_First Click","fc_3_misinfo_timer_Last Click","fc_3_misinfo_timer_Page Submit","fc_3_misinfo_timer_Click Count","fc_3_factcheck_time1_First Click","fc_3_factcheck_time1_Last Click","fc_3_factcheck_time1_Page Submit","fc_3_factcheck_time1_Click Count","fc_3_factcheck_time2_First Click","fc_3_factcheck_time2_Last Click","fc_3_factcheck_time2_Page Submit","fc_3_factcheck_time2_Click Count","thermometer_1","thermometer_2","thermometer_3","thermometer_5","thermometer_6","thermometer_7","therm_timers_First Click","therm_timers_Last Click","therm_timers_Page Submit","therm_timers_Click Count","Q62","comments","Q_TotalDuration","Z_fc_1","Z_fc_2","Z_fc_3"
"2023-10-18 08:28:17","2023-10-18 08:43:25","100","907","True","2023-10-18 08:43:26","EN","Yes","Strongly approve","Very interested","Extremely interested,Very interested","White or Caucasian","No","1986","Bachelor's degree in college (4-year)","Less than $30,000","Woman",NA,"Agnostic","Seldom","Democrat","Strong Democrat",NA,NA,"Once","Once","Several times","Several times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Several times","A fair amount","Sometimes","Six years","Twice","Rishi Sunak","10.209","20.509","23.311","3","Disagree strongly","Disagree strongly","Neither disagree nor agree","Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","0","81.862","0",NA,NA,NA,NA,NA,NA,NA,NA,"Very accurate","0","0","29.791","0",NA,NA,NA,NA,NA,NA,NA,NA,"5","4","3","85","85","95","39.203","155.975","160.52","11","Codify Roe V Wade, so the American people do not need to worry about the government telling them what to do with their bodies.

Pass laws to combat climate change, because it will get worse if we do not act swiftly.

Pass laws for universal healthcare, even if that means raising the taxes on the ultrarich to pay for it.",NA,"907","control","misinformation","misinformation"
"2023-10-18 08:27:31","2023-10-18 08:43:42","100","970","True","2023-10-18 08:43:42","EN","Yes","Strongly disapprove","Very interested","Extremely interested,Very interested","Other","Yes","1995","Some college but no degree","$60,000-$89,999","Woman",NA,"Something else","More than once a week","Republican",NA,"Strong Republican",NA,"Once","Never","Several times","Several times","Several times","Never","Never","Several times","Never","Never","Never","Never","Several times","Several times","A fair amount","Sometimes","Don't know","Twice","Don't know","11.102","23.436","24.945","3","Strongly agree","Agree","Agree","Very accurate",NA,NA,NA,NA,"21.534","21.534","84.795","1","0","0","95.975","0","Very accurate","0","0","62.814","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,"8.361","8.361","28.752","1","0","0","54.263","0","28","51","91","33","22","8","13.071","22.98","24.433","7","I would like to see them pass more laws against abortion. I think it's important for the health and mental wellbeing of all women today. I am very against abortion in all capacities, unless the death of the baby is already determined.",NA,"970","factcheck","misinformation","factcheck"
"2023-10-18 08:27:38","2023-10-18 08:43:42","100","964","True","2023-10-18 08:43:43","EN","Yes","Strongly disapprove","Extremely interested","Extremely interested,Very interested","White or Caucasian","No","1993","Bachelor's degree in college (4-year)","$60,000-$89,999","Man",NA,"Roman Catholic","Never","Independent",NA,NA,"Closer to the Republican Party","Once","Never","Never","Several times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Several times","A fair amount","Sometimes","Six years","Twice","Rishi Sunak","2.873","16.236","17.2","3","Disagree","Disagree strongly","Disagree","Somewhat accurate","0","0","73.963","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,"0","0","108.251","0","0","0","44.729","0","82","50","86","0","29","0","6.073","17.377","19.139","7","We need to secure the southern border and stop illegal immigration. We always need to drill for more oil so that we can be energy independent. We also need to stop these ""no bail"" laws.","nothing else","964","misinformation","control","factcheck"
"2023-10-18 08:27:38","2023-10-18 08:45:17","100","1059","True","2023-10-18 08:45:18","EN","Yes","Somewhat approve","Extremely interested","Extremely interested,Very interested","White or Caucasian","No","1986","Bachelor's degree in college (4-year)","$90,000-$119,999","Man",NA,"Protestant","Once a week","Democrat","Strong Democrat",NA,NA,"Every day","Several times","Once","Several times","Every day","Every day","Every day","Every day","Several times","Every day","Once","Never","Once","Several times","A great deal","Sometimes","Six years","Twice","Rishi Sunak","272.627","354.838","356.564","7","Strongly agree","Strongly agree","Strongly agree","Very accurate",NA,NA,NA,NA,"0","0","77.237","0","36.819","43.154","45.841","3","Somewhat accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very accurate","19.001","19.001","41.648","1",NA,NA,NA,NA,NA,NA,NA,NA,"100","68","95","54","81","100","15.827","31.851","33.01","7","The future government should try ban usable of gun by civilians, it has caused more damages. They should be a life sentences for any rapist and promote our culture. they should invest more on our territories.",NA,"1059","factcheck","control","misinformation"
"2023-10-18 08:28:06","2023-10-18 08:45:37","100","1050","True","2023-10-18 08:45:38","EN","Yes","Strongly approve","Somewhat interested","Extremely interested,Very interested","Asian","No","2001","High school graduate (high school diploma or equivalent including GED)","Less than $30,000","Man",NA,"Nothing in particular","Never","Democrat","Strong Democrat",NA,NA,"Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Once","Not very much","Frequently","Six years","Twice","Rishi Sunak","6.122","25.431","26.726","11","Disagree strongly","Disagree strongly","Disagree strongly","Not at all accurate","0","0","77.962","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,"0","0","8.746","0","0","0","9.933","0","0","0","0","0","87","100","3.787","11.549","11.807","8","Make abortion a nationwide law. Make healthcare nationalized. Ban guns",NA,"1050","misinformation","control","factcheck"
"2023-10-18 08:36:34","2023-10-18 08:46:28","100","594","True","2023-10-18 08:46:29","EN","Yes","Strongly disapprove","Extremely interested","Extremely interested,Very interested","White or Caucasian","No","1993","Bachelor's degree in college (4-year)","Less than $30,000","Man",NA,"Agnostic","Seldom","Independent",NA,NA,"Closer to the Republican Party","Several times","Never","Never","Several times","Several times","Several times","Several times","Several times","Several times","Several times","Never","Never","Never","Several times","Not very much","Frequently","Six years","Twice","Don't know","18.525","36.843","38.617","5","Neither disagree nor agree","Neither disagree nor agree","Disagree strongly","Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,"0","0","87.421","0","0","0","157.327","0","Not at all accurate",NA,NA,NA,NA,"30.124","30.124","30.617","1","0","0","28.951","0","50","50","50","50","50","0","6.687","19.596","21.671","6","Inflation needs to be lowered. Things are way too expensive out here. Most of us are barely getting by.",NA,"594","control","factcheck","factcheck"
"2023-10-18 08:28:03","2023-10-18 08:47:09","100","1146","True","2023-10-18 08:47:10","EN","Yes","Somewhat approve","Extremely interested","Extremely interested,Very interested","White or Caucasian","No","1988","Master's degree","$250,000 and above","Man",NA,"Protestant","More than once a week","Democrat","Strong Democrat",NA,NA,"Several times","Several times","Every day","Every day","Every day","Every day","Every day","Every day","Several times","Several times","Every day","Every day","Every day","Every day","A fair amount","Frequently","Four years","Once","Rishi Sunak","14.796","33.518","34.445","6","Strongly agree","Disagree","Neither disagree nor agree","Somewhat accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate","21.042","53.432","55.586","2",NA,NA,NA,NA,NA,NA,NA,NA,"Very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","76","63","100","70","69","6.488","19.731","20.788","9","Economic growth, healthcare, gun control","none","1146","control","misinformation","control"
"2023-10-18 08:28:05","2023-10-18 08:47:20","100","1154","True","2023-10-18 08:47:21","EN","Yes","Somewhat approve","Not very interested","Extremely interested,Very interested","White or Caucasian","No","1974","High school graduate (high school diploma or equivalent including GED)","$30,000-$59,999","Man",NA,"Jewish","Seldom","Democrat","Strong Democrat",NA,NA,"Several times","Never","Once","Several times","Never","Never","Several times","Never","Never","Several times","Never","Never","Never","Never","A fair amount","Sometimes","Eight years","Twice","Boris Johnson","8.437","42.165","43.761","3","Disagree","Disagree","Agree","Not very accurate","0","0","77.371","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat accurate",NA,NA,NA,NA,"27.731","27.731","28.053","1","229.673","229.673","230.02","1","50","50","44","51","48","60","8.724","27.54","28.591","7","I think America's leaders should concentrate on fighting inflation. I also think illegal immigration should be stopped. I also think new jobs should be created.",NA,"1154","misinformation","control","factcheck"
"2023-10-18 08:27:36","2023-10-18 08:48:45","100","1268","True","2023-10-18 08:48:45","EN","Yes","Somewhat approve","Somewhat interested","Extremely interested,Very interested","White or Caucasian,American Indian/Native American or Alaska Native","No","1991","Bachelor's degree in college (4-year)","Prefer not to answer","Woman",NA,"Prefer not to say","Seldom","Independent",NA,NA,"Neither","Never","Never","Several times","Once","Never","Never","Never","Never","Never","Never","Never","Never","Several times","Once","Not very much","Sometimes","Six years","Twice","Rishi Sunak","156.803","243.739","322.168","6","Neither disagree nor agree","Disagree","Disagree","Somewhat accurate","0","0","87.072","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","31.281","40.917","50.681","3","I believe one of the most important things to focus on for elected leaders is reducing health care costs. Healthier people mean more efficient work. Strengthening the economy so we have more control over inflation and rising costs is also very important. Lastly, I believe we should fight climate change.","Best of luck with your research!","1268","misinformation","control","control"
"2023-10-18 08:27:55","2023-10-18 08:49:14","100","1278","True","2023-10-18 08:49:15","EN","Yes","Strongly disapprove","Not at all interested","Extremely interested,Very interested","White or Caucasian","No","1993","Bachelor's degree in college (4-year)","$60,000-$89,999","Man",NA,"Atheist","Never","Independent",NA,NA,"Neither","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","None at all","Sometimes","Six years","Twice","Boris Johnson","3.877","13.913","15.155","3","Neither disagree nor agree","Disagree strongly","Strongly agree","Very accurate",NA,NA,NA,NA,"0","0","162.287","0","0","0","86.674","0","Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,"0","0","303.519","0","0","0","310.377","0","50","50","50","50","50","100","9.238","19.978","20.528","7","First would be equality in all categories. Second would have to be focusing on fixing all the environmental damage that has been done. Third would be abolishing all governments, and starting new.",NA,"1278","factcheck","control","factcheck"
