item_for_clustering,ATE,SE,outcome
Experiment 1,-5.37,1.52,Attitudes toward Gruber
Experiment 2,-7.56,2.21,Attitudes toward Gruber
Experiment 3,-6.66,1.68,Attitudes toward Gruber
